#;Control cluster;Control title;Control;Control description;Reference frameworks;Lifecycle phase;Segment;Threats addressed;Criterio
1;Policies & procedures;Information Security Policies;An Information Security Policy (ISP) and other relevant cybersecurity policies and guidelines are defined and documented (e.g. change management policy  remote access policy  incident response  and other) ;"ISP and topic-specific policies  procedures and other types of documentation are defined  approved by management  published  communicated to and acknowledged by relevant personnel and relevant interested parties  and reviewed at planned intervals and if significant changes occur. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";"ISO27kNIST IR 8401 NIST IR 8411 SPARTA";All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
43;Data security;Backup;There is a defined and implemented process for conducting  maintaining and testing backup of information;Information and data are backed up regularly following established procedures that dictate the frequency  methods  responsibilities  and access. These backups are tested periodically to check for errors and verify integrity  ensuring that critical data can be restored after a disruption or incident.;"BSI TR-03184 ISO27k NIST CSF 2.0 NIST IR 8411 SPARTA";Phase E;"Space User";Data Modification, Compromising confidential information (data breaches): Exfiltration;Mitigation Presence  Resilience Impact
44;Data security;Information Lifecycle;Information assets are identified and described across their lifecycle  considering all relevant processes;The lifecycle of information assets is explicitly outlined  encompassing all relevant processes. Data is retained only as long as needed to achieve its intended purposes  even by third parties. Once the data lifecycle ends  it is destroyed following established procedures to ensure proper sanitization and disposal.;"BSI TR-03184 ISO27k NIST IR 8401 NIST IR 8411";All ;"Ground Space User";Data Modification, Compromising confidential information (data breaches): Exfiltration, Data leaks, Misuse of equipment;Mitigation Presence   
45;Data security;Data masking;Data masking is employed to obfuscate original  sensitive data;Techniques of data masking  both dynamic and static  are used in accordance with the existing policies and procedures  the business environment and legislative obligations (e.g. related to personal identifiable information (PII) of satellite lifecycle actors). Data masking techniques may include pseudonymization  anonymization  redaction  and substitution.;ISO27k;Phase E;"Space User";Compromising confidential information (data breaches): Exfiltration;Vulnerability Effectiveness  Mitigation Presence
46;Data security;Real-time physics model-based system verification;Real-time physics model-based system is used to verify data input and control sequence changes;Real-time physics model-based system is used to verify data inputs to satellite bus and payload.;SPARTA;Phase E;Space;Seizure of Control, Data Modification, Compromising confidential information (data breaches): Exfiltration;Detection Probability  Response Delay
47;Data security;Process ID whitelisting;Process ID whitelisting is employed in the satellite;"Only a limited list of IDs is allowed to communicate with and issue commands to the satellite bus and payload firmware.  ";SPARTA;"Phase E  Phase E";Space;Data Modification, Abuse/Falsification of rights;Vulnerability Effectiveness  Access Complexity
48;Data security;A tamper resistant body;A tamper resistant body is used when producing a sensore node;Sensor nodes are encased in bodies made from tamper-resistand material.;SPARTA;Phase E;"Space User";Data Modification;Mitigation Presence  
49;Vulnerability Management;Malware Protection;Mission operated systems employ malicious code protection mechanisms to detect and eradicate malicious code;Mission operated systems employ malicious code protection mechanisms at information system entry and exit points and on system components. These enable real-time scans of files from external sources on endpoints devices and at network entry/exit points as files are downloaded  opened  or executed to detect and eradicate malicious code  including those inserted through the exploitation of information system vulnerabilities. Mission system software updates are validated as free from malware prior to deployment  launch  and at defined regular intervals while the mission is in operation. Results from malicious code analysis is incorporated into organizational incident response and flaw remediation processes. ;"BSI TR-03184 ISO27k NASA BPG";"Phase B/C  Phase D  Phase E";"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Malicious injection, Unauthorized modification: Parameters, Unauthorized access;Vulnerability Effectiveness  Detection Probability
50;Vulnerability Management;Vulnerability Management;Vulnerability management processes and procedures are defined and implemented;Information about technical vulnerabilities of information systems in use is collected and exposure to such vulnerabilities is evaluated. Asset vulnerabilities are identified  validated  and recorded. There is a defined and implemented process for receiving  analysing  and responding to vulnerability disclosures. A vulnerability management plan is in place covering also vulnerabilities that are potentially inherited from external organisations and assets.;"ISO27k NIST CSF 2.0  NIST IR 8270  NIST IR 8323r1";"Phase B/C Phase E";"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit, Software misconfiguration, Malicious code/software/activity: Cryptographic exploit;Vulnerability Effectiveness  Mitigation Presence
51;Vulnerability Management;Installation of software on operational systems;Procedures for software installation on operational systems are defined and implemented;Procedures and measures for securely managing software installations on operational systems are established. These include installing solely tested and authorized software  ensuring releases and installations adhere to specified permissions and procedures  conducted exclusively by authorized personnel  such as within a controlled test environment. Information security needs should be identified  defined  and sanctioned during the development or procurement of applications.;"ISO27k NIST CSF 2.0 NASA BPG BSI TR-03184";"Phase B/C Phase D  Phase D";"Ground Human Resources";Malicious code/software/activity: Software and vulnerabilities exploit, Software misconfiguration, Malicious code/software/activity: Malicious injection, Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Hijacking, Legacy software, Manipulation of hardware and software: Zero-Day exploit, Malicious code/software/activity: Malicious injection, Firmware corruption;Mitigation Presence   
52;Vulnerability Management;Vulnerability scanning;Vulnerability scanning is used to identify vulnerabilities;"Vulnerability scanning activities are defined and implemented  ensuring they do not impact operations. Vulnerability scanning is used to identify known software vulnerabilities (excluding custom-developed software - ex: COTS and Open-Source)  and vulnerabilities in dependencies and outdated software (i.e. software composition analysis). Vulnerability scanning tools and techniques facilitate interoperability among tools and automate parts of the vulnerability management process by using standards for: (1) enumerating platforms  custom software flaws  and improper configurations; (2) formatting checklists and test procedures; and (3) measuring vulnerability impact. Ground segment technologies and measures may be employed to perform vulnerability analysis of the space segment. Scans may be performed on test systems rather than the space segment itself. ";"BSI Profile for Space BSI TR-03184 NIST IR 8270  NIST IR 8401  SPARTA ";All ;"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Network exploit, Firmware corruption, Software misconfiguration;Vulnerability Effectiveness  Detection Probability
53;Vulnerability Management;Security Testing Results;Results of penetration testing and vulnerability scanning are used to build report and vulnerability repositories;Penetration testing and vulnerability scanning results are used to support identification of detailed vulnerabilities and insight on how to exploit them. ;"BSI TR-03184 SPARTA";"Phase B/C Phase E";"Ground Space";Malicious code/software/activity: Software and vulnerabilities exploit, Sabotage through hardware/software, Software misconfiguration, Damage/Destruction of segment assets;Vulnerability Effectiveness  Detection Probability
54;Vulnerability Management;Software Updates;Regular software updates are performed to mitigate exploitation risk;Software updates are regularly performed. Updated versions of the software/firmware systems incorporating security-relevant updates are released after suitable regression testing  at a frequency no greater than mission-defined frequency. Old versions of software are removed after upgrading but restoration states (i.e. gold images) are recommended to remain on the system. This control also includes the on-board software  and workarounds for maintaining security are to be found at times when it cannot be updated (while in orbit) - see control #19 for potential solutions. ;"BSI TR-03184 SPARTA";All ;"Ground Space";Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Firmware corruption, Software misconfiguration;Vulnerability Effectiveness  Mitigation Presence
55;Vulnerability Management;Protocol Update / Refactoring;Protocols are updated based on emerging threats and vulnerabilities;A protocol is a set of rules (i.e. formats and procedures) to implement and control some type of association (e.g. communication) between systems. Protocols can have vulnerabilities within their specification and may require updating or refactoring based on vulnerabilities or emerging threats (i.e. quantum computing). These apply for space/ground protocols and on-board protocols. ;SPARTA;"Phase E Phase E Phase F";"Ground Space";Seizure of Control, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Interception of communication, Network traffic manipulation (TC), Position detection (telemetry), Software misconfiguration, Compromising confidential information (data breaches): Exfiltration;Vulnerability Effectiveness  Mitigation Presence
56;Vulnerability Management;Software Source Control;The use of binary or machine-executable code is controlled;The use of binary or machine-executable code from sources that do not offer a warranty or provide source code is prohibited to ensure ability to verify  maintain  and secure the software against potential vulnerabilities.;SPARTA;Phase B/C;Ground;Malicious code/software/activity: Software and vulnerabilities exploit, Software misconfiguration;Vulnerability Effectiveness  Mitigation Presence
57;Vulnerability Management;ASIC/FPGA Manufacturing;Trusted hardware development is ensured;Application-Specific Integrated Circuit (ASIC) / Field Programmable Gate Arrays are developed by accredited trusted foundries to limit potential hardware-based trojan injections.;SPARTA;"Phase B/C Phase D";Ground;Malicious code/software/activity: Software and vulnerabilities exploit, Software misconfiguration, Third Party non-compliance (supply chain), Supply Chain Compromise;Mitigation Presence   
58;Vulnerability Management;Integrity Checking and Assurance;Integrity checking mechanisms are used to verify software  firmware and information integrity;Integrity checking mechanisms are used to validate the integrity of mission software  programmable logic devices  and firmware  as well as proper management of information and records  aligning with the risk strategy and the requirements for protecting information confidentiality  integrity  and availability.;"NASA BPG NIST IR 8323r1 NIST IR 8411";"Phase B/C Phase D Phase E  Phase E";"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit, Software misconfiguration, Firmware corruption, Data Modification, Unauthorized modification: Parameters, Unauthorized access, Compromising confidential information (data breaches): Exfiltration, Network traffic manipulation (TC), Inadequate security planning/management;Vulnerability Effectiveness  Detection Probability
59;Access management;Computing Device Authentication;Computing devices are authenticated before network connections are established;Computing devices  including mobile devices and network connected endpoint devices (e.g. workstations  printers  servers  VoIP Phones  VTC CODECs) are uniquely identified and authenticated before establishing a network connection.;NASA BPG;All ;"Ground Space User Human Resources";Identity Theft, Malicious code/software/activity: Network exploit, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Hijacking;Vulnerability Effectiveness  Access Complexity
60;Access management;Access control;Access control policies and procedures are defined and documented;Rules to control physical and logical access to information and other associated assets are established and implemented based on business and information security requirements. The rules incorporate security best practice such as least privilege  separation of duties and the four-eyes principle and target all relevant systems and subsystems in the satellite lifecycle. Additionally measures to implement physical access control include badge with pins  guards  gates  etc.;"ISO27k NASA BPG NIST CSF 2.0 NIST IR 8323r1 NIST IR 8401 NIST IR 8411 SPARTA";All ;Human Resources;Social Engineering, Seizure of Control, Resource exhaustion, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption, Misuse of equipment, Negligence of asset handling security requirements;Vulnerability Effectiveness  Access Complexity
61;Access management;Identity management;Identities are managed throughout their lifecycle;Identities and credentials are issued  managed  verified  revoked and audited for authorized devices  users and processes. Identities are proofed and bound to credentials and asserted in interactions. Each identity is verified prior to provisioning authenticators. For long term project all historical records are kept  and in cases of users being involved in several phases of the lifecycle  at different time points with with different level of credentials  the identities and credentials are recorded and managed.;"ISO27k NASA BPG NIST CSF 2.0 NIST IR 8270 NIST IR 8323r1 NIST IR 8401 NIST IR 8411";All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Negligence of asset handling security requirements;Mitigation Presence  Privilege Requirement
62;Access management;Authentication information management;Allocation and management of authentication information governed by a management process  including guidance for personnel on proper handling.;Allocation and management of authentication information is govened by a management process  including advising personnel on the appropriate handling of authentication information;ISO27k;All ;Human Resources;Social Engineering, Seizure of Control, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment;Mitigation Presence  Privilege Requirement
63;Access management;Access rights;Access control policies and procedure determining access rights to information and associated assets are defined and implemented;"Access control policies and procedure determining access rights to information and associated assets are defined and implemented. Access rights to information and other associated assets is provisioned  reviewed  modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.  Privileged access rights are restricted and managed  including privileged utility programmes. Read and write access to source code  development tools and software libraries should be appropriately managed.";ISO27k;All ;Human Resources;Social Engineering, Seizure of Control, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption, Malicious code/software/activity: Software and vulnerabilities exploit;Vulnerability Effectiveness  Access Complexity
64;Access management;Authentication;Authentication procedures are defined and documented;"Users  devices  and other assets are authenticated (e.g. single-factor  multi-factor) commensurate with the risk of the transaction (e.g. individuals’ security and privacy risks and other organizational risks). Communication sessions (crosslink and ground stations) are authenticated for all commands before establishing remote connections using bidirectional authentication that is cryptographically based.  Adding authentication on the spacecraft bus and communications on-board the spacecraft is also recommended.";"ISO27k NASA BPG NIST CSF 2.0 NIST IR 8270 NIST IR 8323r1 NIST IR 8401 NIST IR 8411 SPARTA";All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption;Vulnerability Effectiveness  Access Complexity
65;Access management;Remote access management;Remote access management procedure and processes are defined and documented;Remote access is managed  including the possible remote deletion function.;"BSI TR-03184 NIST IR 8270 NIST IR 8323r1 NIST IR 8401 NIST IR 8411";All ;User;Seizure of Control, Preventing services, Malicious code/software/activity: Network exploit, Data Modification;Vulnerability Effectiveness  Access Complexity
66;Access management;Multi factor authentication;The zero-trust concept is applied to access management;"Multi-Factor Authentication is employed. Zero-trust access controls to the code repositories are employed where possible. For example  the main branches in repositories are protected from injecting malicious code.";"NASA BPG SPARTA";All ;Human Resources;Social Engineering, Seizure of Control, Manipulation of hardware and software: Zero-Day exploit, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment;Vulnerability Effectiveness  Access Complexity  Privilege Requirement
67;Access management;Relay Protection;Relay and replay-resistant authentication mechanisms and employed;Relay and replay-resistant authentication mechanisms for establishing a remote connection or connections on the spacecraft bus are employed.;SPARTA;"Phase B/C  Phase E";Space;Resource exhaustion, Replay of recorded authentic communication traffic;Vulnerability Effectiveness  Mitigation Presence
68;Access management;Session Termination;Procedure for session termination are established;User sessions are defined and implemented. Connections associated with a communications session are terminated at the end of the defined session or after an acceptable amount of inactivity which is established via the concept of operations.;SPARTA;Phase E;Space;Interception of communication, Man-in-the-Middle;Mitigation Presence  Response Delay
69;Access management;Insider Threat Protection;Iinsider Threat procedures and guidelines are defined and documented;Policies and procedures to prevent individuals (i.e. insiders) from masquerading as individuals with valid access to areas where commanding of the spacecraft is possible are defined and documented. An Insider Threat Programme is established to aid in the prevention of people with authorised access performing malicious activities.;SPARTA;All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption;Mitigation Presence  Detection Probability
70;Access management;Restricted zones access;Informal meeting places within restricted zones are defined;Meeting places within the restricted zone (coffee  smoking corners  etc.) are defined  minimising access e.g. to avoid tailgating.;BSI TR-03184;All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Rogue Hardware;Access Complexity  Privilege Requirement
71;Access management;Password security;A password policy and guidelines are defined and documented;A clear password policy is defined and documented.;BSI TR-03184;All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment;Vulnerability Effectiveness  Access Complexity
72;Asset management;Asset Inventory;An asset inventory if established and maintained ;An inventory of information and other associated assets (hardware and software) is developed and maintained  including asset owners and dependencies between assets. The inventory should also include assets provided or managed by third parties  including tools used for project management and day-to-day business operations. ;"BSI TR-03184 ISO27k NIST CSF 2.0 NIST IR 8401 NIST IR 8411 SPARTA";Phase B/C;"Ground Space User Human Resources";Social Engineering, Identity Theft, Abuse/Falsification of rights, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption, Inadequate security planning/management;Mitigation Presence   
73;Asset management;Return of assets;A procedure for asset management following termination of cooperation is defined and documented;A procedure for asset management following termination of cooperation is defined and documented  including requirements for personnel and other interested parties to return all the organizational assets in their possession upon change or termination of their employment  contract or agreement;ISO27k;All phases;"Ground Space User Human Resources";Social Engineering, Identity Theft, Compromising confidential information (data breaches): Exfiltration, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption, Misuse of equipment, Negligence of asset handling security requirements, Unauthorized access to recycled or disposed media;Mitigation Presence
74;Asset management;Equipment maintenance;Procedures and processes for equipment maintenance are defined and implemented;Procedures and processes for equipment maintenance are defined and implemented ensuring equipment is maintained correctly to ensure availability  integrity and confidentiality of information. ;ISO27k;All phases;"Ground Space User Human Resources";Social Engineering, Identity Theft, Compromising confidential information (data breaches): Exfiltration, Theft of authentication information, Unauthorized use of equipment, Misuse of equipment, Negligence of asset handling security requirements, Unauthorized access to recycled or disposed media;Mitigation Presence
75;Asset management;Secure disposal or re-use of equipment;Procedures and processes for disposal/re-use of equipment are defined and implemented;"Procedures and processes for disposal/re-use of equipment are defined and implemented ensuring items of equipment containing storage media are verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use. This also includes the use of a ""kill switch"" that prevents hijacking of assets that have been disposed. ";ISO27k;Phase F;"Space User";Data Modification, Compromising confidential information (data breaches): Exfiltration, Unauthorized use of equipment, Unauthorized access to recycled or disposed media;Mitigation Presence
76;Asset management;Asset prioritisation;Guidelines for asset prioritisation are defined;Guidelines for asset prioritisation are defined and documented. Assets are prioritised and protected based on their classification  criticality  resources  and impact on the mission.;"BSI TR-03184 ISO27k NIST CSF 2.0 NIST IR 8323r1 NIST IR 8411";All phases;"Ground Space User";Inadequate security planning/management;Mitigation Presence   
77;Asset management;Asset lifecycle management;Guidelines and procedures for the asset management lifecycle are defined and documented;Assets (systems  hardware  software  services  and data) are managed throughout their life cycles. Management takes into account cybersecurity best practice and implications of other activities  such as risk management and others as well as the asset classification. Maintenance and repair of organizational assets are performed and logged  with approved and controlled tools.;"NIST CSF 2.0 NIST IR 8323r1 NIST IR 8401 NIST IR 8411";"Phase E Phase F";"Ground Space User";Seizure of Control, Legacy software, Failure to maintain information systems, Data Modification, Compromising confidential information (data breaches): Exfiltration, Unauthorized access to recycled or disposed media;Mitigation Presence   
78;Supply Chain Management;Supplier Security Management;Supplier or Third Party compliance with relevant security standards is reviewed;Subcontractors and participating companies are required to provide evidence of security management or established security standards. If required  a review of compliance with the applicable rules and standards is conducted via an ISMS self-assessment or an audit. The scope of the security standard should be examined in the relevant areas.;"BSI Profile for Space METI";"Phase B/C Phase D Phase D Phase E";Ground;Supply Chain Compromise, Third Party non-compliance (supply chain), Data leaks;Mitigation Presence   
79;Supply Chain Management;Software Version Numbers;Version numbers of COTS or Open-Source are protected;The version numbers of deployed COTS or Open-Source are adequately protected. These numbers can be cross referenced against public repos to identify Common Vulnerability Exposures (CVEs) and exploits available.;SPARTA;"Phase B/C Phase D";Ground;Supply Chain Compromise, Malicious code/software/activity: Software and vulnerabilities exploit;Vulnerability Effectiveness  Mitigation Presence
80;Supply Chain Management;Software Bill of Materials;The Software Bill of Materials (SBOM) is generated to identify known vulnerabilities;The Software Bill of Materials (SBOM) is generated against the entire software supply chain and cross correlated with known vulnerabilities (e.g. Common Vulnerabilities and Exposures) to mitigate known vulnerabilities. ;SPARTA;Phase B/C;Ground;Supply Chain Compromise, Malicious code/software/activity: Software and vulnerabilities exploit;Vulnerability Effectiveness  Mitigation Presence
81;Supply Chain Management;Software Supply Chain Integrity;Technical measures are in place to ensure integrity of the supply chain;Integrity of the supply chain is ensured through various means including technical measures (e.g. hash sum)  organisational measures (e.g. sealed letters  personal handover) as well as auditing of suppliers. Response and recovery planning and testing are conducted with suppliers and Third Party providers.;"BSI TR-03184 NIST IR 8401";"Phase B/C  Phase D";Ground;Supply Chain Compromise, Preventing services, Unauthorized modification: Parameters, Unauthorized access, Rogue hardware;Vulnerability Effectiveness  Mitigation Presence
82;Supply Chain Management;Cloud Cybersecurity Measures;SLAs are in place external services and cloud provders;Selection of external and Cloud-related services is based  on the level to which security requirements and service level agreements (SLAs) are met  in relation to applicable laws  regulations and the mission itself.;"ISO27k METI";"Phase B/C Phase D Phase E";"Ground Space User";Supply Chain Compromise, Data Modification, Unauthorized modification: Parameters, Failure of Cloud infrastructure, Third Party non-compliance (supply chain);Mitigation Presence   
83;Supply Chain Management;Outsourced development;Activities related to outsourced system development are monitor and reviewed;All activities related to outsourced system development are directed  monitored  and reviewed to ensure compliance with security  quality  and performance standards. This includes overseeing the development process  evaluating the adherence to contractual obligations  and conducting regular audits to mitigate risks associated with outsourcing. Conduct supplier review prior to prior to entering into a contractual agreement with a contractor (or sub-contractor) to acquire systems  system components  or system services.Their role in the supply chain is identified and communicated. Providers of information systems  components and services are identified  prioritised and continuously assessed using a cyber supply chain risk assessment process. If components/software cannot be procured from the original component manufacturer or their authorized franchised distribution  the contract is approved by the supply chain board or equivalent to prevent and detect counterfeit and fraudulent parts  materials  and software. Note that the supply chain risk management (SCRM) is typically an intra-organization function. ;"ISO27k NIST IR 8270 NIST IR 8323r1 NIST IR 8411 SPARTA";All;"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit, Supply Chain Compromise, Third Party non-compliance (supply chain);Mitigation Presence   
84;Monitoring & Alerting;Network and Communications Monitoring Function;Communications are monitored to identify cybersecurity events and verify the effectiveness of protective measures;"Communications are monitored at the external boundary of the system and at mission critical internal boundaries within the system. The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures. The granularity of the monitoring and the depth of the analysis is consistent with the findings of the risk assessment.  Monitoring is performed on the interface to the bus or payload; the receivers that process and form the commands; responses and telemetry; the processed telemetry; and state of health information from the space segment. Additionally  cyber-related events spanning over multiple work shifts should be detected and communicated effectively across all shifts and potentially varying time-zones. ";"NASA BPG NIST IR 8323r1 NIST IR 8401  ";Phase E;"Ground Space";Compromising confidential information (data breaches): Exfiltration, Denial of Service (DoS), Spoofing, Theft of authentication information, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Malicious code/software/activity: Malicious injection, Data Modification, Hijacking, Man-in-the-Middle, Interception of communication, Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access;Detection Probability  Response Delay
85;Monitoring & Alerting;Intrusion Detection and Prevention;On-board Intrusion detection/prevention systems (IDP/IPS) are employed to detect and respond to threats and attacks;"Normal activities on the network for accessing and controlling mission applications and capabilities are identified and documented. On-board intrusion detection/prevention systems (IDP/IPS) that monitor the mission critical components or systems and audit/logs actions are employed. The IDS/IPS have the capability to respond to threats (initial access  execution  persistence  evasion  exfiltration  etc.) and it to address signature-based attacks. The IDS/IPS are integrated traditional fault management to provide a holistic approach to faults on-board the spacecraft. The spacecraft should have capacity to select and execute countermeasures that are compatible with the system’s fault management system to avoid unintended effects or fratricide on the system (i.e. ‘safe countermeasures’). At minimum  the response should ensure vehicle safety and continued operations. Ideally  the goal is to trap the threat  convince the threat that it is successful  and trace and track the attacker — with or without ground support. This would support successful attribution and evolving countermeasures to mitigate the threat in the future.  For further information on monitoring and alerting  refer to the Monitoring & Alerting controls.";"BSI Profile for Space BSI TR-03184 NASA BPG SPARTA";"Phase E Phase E Phase E";"Ground Space ";Seizure of Control, Malicious code/software/activity: Network exploit, Unauthorized access, Data leaks, Theft of authentication information;Detection Probability  Response Delay
86;Monitoring & Alerting;Event detection communication;Event detection is communicated to stakeholders;"Detected events are communicated to personnel  partners  analytics  and downstream application users. For example  ground antenna data anomalies are communicated together with the current best estimate of data quality. When the cause of a service disruption event is suspected to be external  event detection is shared with appropriate external stakeholders for further investigation.";NIST IR 8323r1;Phase E;Ground;Malicious code/software/activity: Malicious injection, Data Modification, Unauthorized modification: Parameters, Unauthorized access, Negligence of asset handling security requirements, Failure to maintain information systems;Detection Probability  Response Delay
87;Monitoring & Alerting;Anomaly detection;"Event data is correlated from multiple sources and communicated; Inappropriate or malicious activity within the mission’s systems is detected";Audit/log records are determined  documented  implemented  and reviewed in accordance with documented policies and procedures. A baseline of network operations and expected data flows for users and systems is established and managed. Event data are collected and correlated from multiple sources and sensors.  The network is monitored to detect potential cybersecurity events  including malicious code.  Capabilities are in place to enable detection of inappropriate or malicious activity within the mission’s systems and provide alerts upon detection. Automated mechanisms are employed to maintain and validate baseline configuration to ensure the spacecraft's configuration is up-to-date  complete  accurate  and readily available.;"NIST IR 8323r1 NIST IR 8270 NASA BPG SPARTA";"Phase E Phase E Phase E";Ground;Malicious code/software/activity: Network exploit, Data Modification, Unauthorized modification: Parameters, Unauthorized access, Data leaks;Detection Probability  Response Delay
88;Monitoring & Alerting;Mission Cyber Actor Actions Detection ;An on-board cyber actor actions detection function is in place;An on-board cyber actor actions detection function is included in the mission’s defined requirements and the resulting system.;NASA BPG;Phase E;Space;Unauthorized modification: Parameters, Unauthorized access, Malicious code/software/activity: Malicious injection, Data Modification, Position detection (telemetry);Detection Probability  Response Delay
89;Monitoring & Alerting;Critical Telemetry Points Monitoring;Critical telemetry points are monitored for malicious activities ;Defined critical telemetry points are monitored for malicious activities (e.g. jamming attempts  commanding attempts – command modes  counters  etc.). This includes valid/processed commands as well as commands that were rejected. Telemetry monitoring is synchronised with ground-based Defensive Cyber Operations (i.e. SIEM/auditing) to create a full space system situational awareness from a cybersecurity perspective.;"BSI Profile for Space BSI TR-03184 SPARTA";"Phase E Phase E";Space;Spoofing, Jamming, Unauthorized modification: Parameters, Unauthorized access, Unauthorized access, Position detection (telemetry), Man-in-the-Middle, Network traffic manipulation (TC), Replay of recorded authentic communication traffic;Detection Probability  Response Delay
90;Monitoring & Alerting;Reinforcement Learning;A reinforcement learning agent is deployed to detect anomalous events;A reinforcement learning agent is deployed to detect anomalous events and redirect processes to proceed by ignoring malicious data/input.;"BSI Profile for Space BSI TR-03184 SPARTA";"Phase E Phase E";Space;Data Modification, Unauthorized modification: Parameters, Unauthorized access, Compromising confidential information (data breaches): Exfiltration, Malicious code/software/activity: Malicious injection;Detection Probability  Response Delay
91;Monitoring & Alerting;Space-Based Radio Frequency Mapping;Space-based RF mapping is in place to monitor and analyse the RF environment;Space-based RF mapping is deployed to monitor and analyze the RF environment that affects space systems both in space and on Earth. The space-based RF mapping provides space operators with a more complete picture of the space environment  the ability to quickly distinguish between intentional and unintentional interference  and the ability to detect and geolocate electronic attacks. RF mapping allows better characterisation of jamming and spoofing attacks from Earth or from other satellites so that other defences can be more effectively employed.;"BSI Profile for Space BSI TR-03184 SPARTA";"Phase E Phase E";Space;Spoofing, Jamming, Unauthorized modification: Parameters, Unauthorized access;Detection Probability  
92;Monitoring & Alerting;Continuous Personnel Monitoring;Personnel activity is monitored to detect anomalous behavious;Personnel activity and technology usage are monitored to detect potentially adverse events.;NIST CSF 2.0;All;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized modification: Parameters, Unauthorized use of equipment, Coercion  extortion or corruption, Personnel Absence, Misuse of equipment, Negligence of asset handling security requirements, Refusal of actions;Detection Probability  Privilege Requirement
93;Monitoring & Alerting;Dependency Confusion;Protections are in place for mitigating dependency confusion;Proper protections are in place for ensuring dependency confusion is mitigated. This includes assurance that internal dependencies are pulled from private repositories vice public repositories  that the CI/CD/development environment is secure and validation of dependency integrity by ensuring checksums match official packages.;SPARTA;Phase E;User;Unauthorized modification: Parameters, Unauthorized access;Vulnerability Effectiveness  Mitigation Presence
94;Monitoring & Alerting;Security Information and Event Management (SIEM) / Security Operations Center (SOC);Logs of security-relevant events are integrated into a Security Information and Event Management (SIEM) system;Security-related events within system management are systematically recorded and integrated into a Security Information and Event Management (SIEM) system  allowing for real-time monitoring and analysis of potential security threats or breaches. Timely detection and response to identified security incidents within the infrastructure is enabled.;"BSI TR-03184 NIST IR 8323r1";Phase E ;"Space User";Security services failure, Data leaks, Compromising confidential information (data breaches): Exfiltration, Manipulation of hardware and software: Zero-Day exploit;Detection Probability  Response Delay
95;Incident Response;Public relations management during incidents;Information distribution during an incident is centralised and coordinated.;"Information distribution during an incident is centralised and coordinated and the public-facing representation of the organisation is managed.  This includes  but is not limited to: - media interactions - handling and ‘triaging’ phone calls and email requests - matching media requests with appropriate and available internal experts - screening all of the information provided to the media";"NIST IR 8323r1 NIST IR 8401";Phase E;User;Inadequate security planning/management;Response Delay   
